Timestamp,1. What is your age?,2. Gender,3. What is your academic level?,4. What is your field of study?,5. Have you had prior experience with AI tools?,6. How frequently do you use ChatGPT?,7. For what purposes do you primarily use ChatGPT? (Select all that apply),8. How much time do you spend using ChatGPT per week?,9. Do you believe ChatGPT has improved your research efficiency?,10. Has ChatGPT enhanced the quality of your writing?,11. Has ChatGPT increased your understanding of complex concepts?,12. What other benefits have you experienced from using ChatGPT?,13. Do you think you have become overly reliant on ChatGPT?,14. Are you concerned about plagiarism when using ChatGPT?,15. Has using ChatGPT impacted your critical thinking skills?,16. What other drawbacks have you experienced from using ChatGPT? ,17. Has your approach to research changed due to ChatGPT?,18. Has ChatGPT shifted your writing style?,19. Do you find yourself relying more on AI tools since using ChatGPT?,20. What other changes have you noticed in your learning habits?,21. How has ChatGPT influenced your academic performance? 
26/09/2024 17:19:58,20,Female,Undergraduated,Computer Science,Yes,Daily,"Research, Writing, Homework assistance",Less than 1 hour,Strongly agree,Strongly agree,Strongly agree,"You don't have to research extensively even for the small things, you can get the relevant answer right away",Neutral,Neutral,Neutral,"Not really, I think it depends on you how you use something, but I don't think so chatgpt is intelligent enough to make a human reliant on you ",Strongly agree,Strongly Agree,Disagree,I would say that you won't like researching after you start using chat gpt ,Yes especially if you can't understand anything chat gpt helps alott
26/09/2024 17:21:14,20,Female,Undergraduated,Computer Science,No,Weekly,Research,Less than 1 hour,Strongly agree,Strongly agree,Strongly agree,,Agree,Strongly agree,Agree,,Agree,Strongly Agree,Agree,,
26/09/2024 17:23:31,22,Male,Undergraduated,Civil Engineering,Yes,Weekly,Homework assistance,Less than 1 hour,Agree,Agree,Agree,Nothing much as assignment ,Neutral,Agree,Disagree,Nothing ,Neutral,Neutral,Neutral,Nothing much but chat gpt can help to make a proper assignment ,As well as good
26/09/2024 17:25:13,19,Male,Undergraduated,Civil Engineering,No,Weekly,"Research, Homework assistance",Less than 1 hour,Agree,Disagree,Agree,Do assignment ,Neutral,Neutral,Agree,,Neutral,Neutral,Neutral,,
26/09/2024 17:26:32,21,Male,Undergraduated,Business and Finance,Yes,Weekly,Research,1-3 hours,Strongly agree,Strongly agree,Strongly agree,,Strongly,Strongly agree,Strongly agree,Chpt is very good app about search.. any questions.. easily understand..,Strongly agree,Agree,Agree,No ,Is very good 
26/09/2024 17:27:56,22,Male,Undergraduated,Computer Science,Yes,Weekly,Research,Less than 1 hour,Strongly agree,Strongly agree,Strongly agree,In all fields it is helpful ,Agree,Agree,Agree,Dependable on it ,Strongly agree,Strongly Agree,Agree,Non,Nil
26/09/2024 17:30:21,21,Female,Undergraduated,Computer Science,Yes,Daily,"Research, Writing, Homework assistance, General knowledge",Less than 1 hour,Agree,Agree,Agree,"It has reduced the time of research for me. Instead of spending hours on youtube tutorial, I research things only by giving one command. I not only get answers of complex problems but I also ask it to give me the detailed understanding that how it solved any particular problem. That is why ChatGPT is very beneficial for me.",Agree,Neutral,Agree,Sometimes it does not work so efficiently and I have to recheck from other resources. It creates ambiguity.(sometimes),Strongly agree,Neutral,Agree,"Whenever I face difficulty in understanding any topic, I always ask ChatGpt to make me understand that. It is a positive change.",Very much!
26/09/2024 17:30:53,18,Male,Undergraduated,Computer Science,Yes,Daily,"Research, Writing, Homework assistance, General knowledge",7 hours or more,Strongly agree,Strongly agree,Strongly agree,Data Analysis ,Disagree,Strongly agree,Strongly agree,Limited Credits,Strongly disagree,Strongly disagree,Disagree,Dependent on Chatgpt ,Mostly Copy paste students 
26/09/2024 17:31:57,23,Male,Undergraduated,Computer Science,No,Daily,Homework assistance,1-3 hours,Agree,Agree,Agree,About other AI tools,Strongly,Agree,Neutral,Lazy ,Agree,Agree,Agree,Deep learning ,Yes
26/09/2024 17:32:24,21,Male,Undergraduated,Computer Science,Yes,Weekly,Other,Less than 1 hour,Neutral,Disagree,Agree, Not much honestly. when i try finding answers or stuff i need myself. i end up getting better answers than chatgpt.,Strongly disagree,Disagree,Disagree,Makes mistakes. you can even tell by looking at some text that its written by Chatgpt.,Disagree,Disagree,Disagree,Not much honestly.,For academic purposes. I could say yes as it saves some time in solving some Questions.
26/09/2024 17:33:25,21,Male,Undergraduated,Mechanical Engineering,Yes,Rarely,General knowledge,Less than 1 hour,Neutral,Neutral,Neutral,,Neutral,Neutral,Disagree,,Disagree,Disagree,Neutral,,
26/09/2024 17:34:35,24,Male,Undergraduated,Computer Science,Yes,Daily,"Research, Writing, Homework assistance, General knowledge, Other",4-6 hours,Strongly agree,Strongly agree,Strongly agree,,Neutral,Agree,Agree,,Strongly agree,Agree,Agree,,
26/09/2024 17:36:14,19,Female,Undergraduated,Computer Science,Yes,Daily,"Research, Homework assistance",Less than 1 hour,Agree,Agree,Agree,help in assignment or quiz,Agree,Agree,Neutral,no,Agree,Neutral,Agree,At that time I think not other change I noticed . ,help in researching and help to enhance our knowledge 
26/09/2024 17:38:43,25,Male,Undergraduated,Computer Science,Yes,Daily,"Research, General knowledge",1-3 hours,Strongly agree,Strongly agree,Strongly agree,Ease in learning new technology,Neutral,Neutral,Disagree,There's no drawback for me it's just an improved form of search engine ,Agree,Neutral,Agree,improved,enhanced
26/09/2024 17:38:49,22,Male,Undergraduated,Computer Science,No,Weekly,"Research, Writing, General knowledge, Other",Less than 1 hour,Strongly agree,Strongly agree,Neutral,,Neutral,Neutral,Strongly disagree,,Agree,Agree,Disagree,,
26/09/2024 17:43:40,21,Male,Undergraduated,Computer Science,Yes,Daily,Writing,1-3 hours,Agree,Neutral,Agree,Time saving ,Neutral,Agree,Agree,Nothing ,Neutral,Agree,Neutral,,
26/09/2024 17:44:07,20,Male,Undergraduated,Computer Science,Yes,Rarely,Research,Less than 1 hour,Strongly agree,Strongly agree,Strongly agree,I have got accurate answers ,Strongly,Strongly agree,Strongly agree,,Strongly agree,Strongly Agree,Agree,,
26/09/2024 17:45:05,24,Male,Graduated,Computer Science,Yes,Daily,"Research, General knowledge",Less than 1 hour,Agree,Neutral,Agree,Nothing special,Agree,Disagree,Strongly disagree,Everytime mind gives signal that use chat gpt,Neutral,Agree,Agree,Nothing,Badly
26/09/2024 17:45:32,19,Male,Undergraduated,Software Engineering,Yes,Daily,Research,1-3 hours,Agree,Agree,Strongly agree,It's useful in every field even non computer/IT related fields.,Agree,Strongly agree,Agree,I wish I could do more with it than just write or read stuff.,Strongly agree,Neutral,Agree,I don't rely on anyone else for information I can get anything I want myself.,"My GPA has improved, that enough for me."
26/09/2024 17:47:57,19,Male,Undergraduated,Business and Finance,Yes,Weekly,Homework assistance,Less than 1 hour,Agree,Neutral,Agree,,Neutral,Strongly agree,Agree,,Strongly agree,Neutral,Disagree,,
26/09/2024 17:53:01,26,Male,Undergraduated,Computer Science,No,Weekly,"Research, Writing, Homework assistance, Other",1-3 hours,Strongly agree,Strongly agree,Agree,,Agree,Disagree,Disagree,,Agree,Agree,Agree,,
26/09/2024 17:55:10,21,Male,Undergraduated,Computer Science,Yes,Monthly,"Research, Homework assistance",Less than 1 hour,Agree,Agree,Agree,,Neutral,Agree,Neutral,,Neutral,Agree,Agree,,
26/09/2024 17:56:57,24,Male,Undergraduated,Computer Science,No,Never,Other,Less than 1 hour,Strongly disagree,Strongly Disagree,Strongly disagree,,Strongly disagree,Strongly Disagree,Strongly disagree,,Strongly disagree,Strongly disagree,Disagree,,
26/09/2024 18:08:55,19,Male,Undergraduated,Civil Engineering,Yes,Weekly,"Research, Homework assistance, General knowledge",Less than 1 hour,Agree,Agree,Agree,,Disagree,Neutral,Agree,,Agree,Agree,Neutral,,
26/09/2024 18:15:26,23,Male,Undergraduated,Business and Accounting,Yes,Daily,Research,1-3 hours,Strongly agree,Strongly agree,Strongly agree,,Agree,Agree,Agree,,Agree,Strongly Agree,Agree,Yes ,
26/09/2024 18:17:17,21,Male,Undergraduated,Computer Science,Yes,Daily,"Writing, Homework assistance, General knowledge",Less than 1 hour,Strongly agree,Agree,Agree,,Strongly,Agree,Agree,,Strongly agree,Strongly Agree,Agree,Tasks are now easily done,easy to do tasks now in less time
26/09/2024 18:25:19,21,Male,Undergraduated,Computer Science,Yes,Daily,"Homework assistance, General knowledge",Less than 1 hour,Agree,Disagree,Strongly disagree,easier access to solutions,Agree,Agree,Strongly agree,reduced critical thinking and logic building,Agree,Disagree,Agree,I've gotten lazy at learning new things,negatively 
26/09/2024 18:31:11,18,Female,Undergraduated,Arts and Humanities,No,Rarely,Other,1-3 hours,Neutral,Neutral,Neutral,"I have experienced about giving such knowledge and helped in improving vocabulary, understands in doing difficult tasks. ",Agree,Neutral,Neutral,Not much,Agree,Disagree,Disagree,Helps to speak other languages fluently such as English ,None
26/09/2024 18:48:41,20,Male,Undergraduated,Other,No,Monthly,Homework assistance,Less than 1 hour,Agree,Agree,Neutral,Quick ,Disagree,Neutral,Agree,,Agree,Neutral,Agree,,
26/09/2024 18:50:55,20,Male,Undergraduated,Mechanical Engineering,No,Weekly,"Research, Writing, General knowledge",Less than 1 hour,Agree,Agree,Neutral,Making easier my problems ,Agree,Neutral,Strongly disagree,It make people to depend upon it ,Neutral,Agree,Disagree,To discuss point to point ,Yes
26/09/2024 19:01:39,19,Male,High school,Civil Engineering,No,Monthly,"Research, General knowledge",Less than 1 hour,Strongly agree,Strongly agree,Strongly agree,Impressive,Agree,Neutral,Agree,,Neutral,Agree,Disagree,Easy got the understand things.,Really good
26/09/2024 19:01:46,21,Male,Undergraduated,Computer Science,Yes,Weekly,"Research, General knowledge",Less than 1 hour,Agree,Agree,Agree,,Neutral,Neutral,Disagree,,Agree,Agree,Agree,Nothing ,Yes kind of
26/09/2024 19:02:35,25,Female,Graduated,Other,Yes,Weekly,"Research, Writing, Other",1-3 hours,Strongly agree,Agree,Agree,I can gain enough benefit from chatgpt,Disagree,Strongly Disagree,Neutral,It cannot understand my own words ,Neutral,Strongly Agree,Agree,No,it can help me to done my assignments and quizzes 
26/09/2024 19:03:36,20,Male,Undergraduated,Computer Science,Yes,Weekly,"Research, Homework assistance",Less than 1 hour,Agree,Agree,Agree,,Disagree,Agree,Disagree,,Agree,Neutral,Neutral,Nothing Special ,Not Much
26/09/2024 19:04:14,18,Female,Undergraduated,Computer Science,No,Rarely,General knowledge,Less than 1 hour,Neutral,Neutral,Neutral,,Disagree,Neutral,Neutral,,Disagree,Disagree,Disagree,,
26/09/2024 19:07:09,21,Male,Undergraduated,Civil Engineering,No,Monthly,Homework assistance,Less than 1 hour,Agree,Neutral,Neutral,,Neutral,Neutral,Disagree,,Neutral,Neutral,Neutral,,
26/09/2024 19:07:29,21,Male,High school,Medical Science,No,Never,Research,Less than 1 hour,Agree,Agree,Agree,,Strongly,Strongly agree,Agree,No idea,Strongly agree,Agree,Neutral,Increase in knowledge ,To much
26/09/2024 19:13:30,21,Male,Undergraduated,Civil Engineering,Yes,Weekly,"Research, Homework assistance",Less than 1 hour,Strongly agree,Agree,Strongly agree,,Neutral,Neutral,Agree,,Neutral,Disagree,Agree,,
26/09/2024 19:14:55,19,Male,Undergraduated,Electrical Engineering,Yes,Weekly,Research,Less than 1 hour,Neutral,Neutral,Agree,It gives us a quick answer. It is available and can use when we want. ,Neutral,Neutral,Agree,"It produce errors, user become reliant on AI for tasks",Neutral,Disagree,Neutral,"We use it for our academic purposes, we are mot using our minds we become reliant of AI tools. Which is not too good for us",It is easily available. With one click we can get answers of our queries. 
26/09/2024 19:15:47,22,Male,Undergraduated,Civil Engineering,Yes,Daily,Research,1-3 hours,Strongly agree,Strongly agree,Strongly agree,,Disagree,Neutral,Strongly disagree,,Neutral,Agree,Agree,,
26/09/2024 19:19:05,22,Male,High school,Electrical Engineering,Yes,Daily,Research,Less than 1 hour,Strongly agree,Strongly agree,Strongly agree,Easily provide solutions,Strongly,Strongly agree,Strongly agree,Easily provide solutions,Strongly agree,Strongly Agree,Agree,Easily provide solutions,
26/09/2024 19:26:36,20,Male,Undergraduated,Computer Science,Yes,Daily,"Research, Writing, Homework assistance, General knowledge",1-3 hours,Strongly agree,Neutral,Agree,"Clear my thoughts  and problem  , ",Agree,Neutral,Strongly agree,,Agree,Strongly Agree,Disagree,"Not much i noticed, ",By giving answers of my question and problem which can  related yo religion and general knowledge too 
26/09/2024 19:29:35,17,Female,Undergraduated,Computer Science,No,Monthly,Homework assistance,Less than 1 hour,Neutral,Strongly Disagree,Agree,Fast speed ,Disagree,Agree,Disagree,False information is stored in it,Strongly disagree,Strongly disagree,Disagree,No,Yes
26/09/2024 19:33:28,20,Male,Undergraduated,Computer Science,Yes,Daily,"Research, Writing, Homework assistance, General knowledge, Other",1-3 hours,Strongly agree,Strongly agree,Strongly agree,"Many things that google cannot provide us, Chatgpt has done the job. For exam preparation it helps alot",Agree,Agree,Neutral,Nothing ,Strongly agree,Strongly Agree,Agree,Chatgpt has helped me alot in my Projects and Exam preparation. It can simplify any hard topics that are difficult to understand. It can do tasks within the constraints that you provide. It is a very useful tool,My GPA has improved by using it for my Exam preparation 
26/09/2024 19:45:45,28,Male,Graduated,Mechanical Engineering,Yes,Monthly,"Research, Other",Less than 1 hour,Agree,Neutral,Agree,Good,Agree,Agree,Agree,No idea,Agree,Neutral,Agree,Time effieciency,"No, during my graduation there is no such AI tools to help students."
26/09/2024 20:02:29,22,Female,Graduated,Computer Science,Yes,Weekly,General knowledge,Less than 1 hour,Strongly agree,Agree,Agree,,Neutral,Neutral,Agree,,Agree,Neutral,Agree,,
26/09/2024 20:02:32,20,Male,Undergraduated,Computer Science,Yes,Daily,"Research, Writing, Homework assistance, General knowledge",Less than 1 hour,Strongly agree,Strongly agree,Strongly agree,Good,Disagree,Agree,Disagree,,Agree,Agree,Disagree,,
26/09/2024 20:02:44,21,Female,Undergraduated,Computer Science,Yes,Daily,"Writing, Homework assistance, General knowledge",1-3 hours,Agree,Strongly agree,Strongly agree," ChatGPT has been super helpful for me in coming up with creative ideas, learning new things, and even helping me keep up with the latest trends and news. It's like having a knowledgeable friend. ",Agree,Agree,Agree,Totally relying on gpt .,Agree,Agree,Agree,"In positive way it enhanced creativity, personalised learning and in negative way we became dependent and over reliance on this.",Quick access to relevant information. Works like a writing assistant. 
26/09/2024 20:02:59,20,Male,Undergraduated,Computer Science,Yes,Daily,"Research, Writing, Homework assistance, General knowledge",Less than 1 hour,Agree,Neutral,Agree,Dictionary!,Neutral,Neutral,Agree,Helpful app,Agree,Agree,Neutral,"Speaking skills, vocabulary etc..",Much!
26/09/2024 20:03:43,22,Male,Graduated,Computer Science,Yes,Daily,"Research, Writing, Homework assistance",4-6 hours,Agree,Neutral,Strongly agree,its can clears most of the concepts that are not cleared by teacher,Disagree,Agree,Neutral,majority of students relay on chatgpt,Agree,Neutral,Agree,direct coping ,it influence in well way because it can do my assessments
26/09/2024 20:04:10,20,Male,Undergraduated,Computer Science,Yes,Weekly,"Research, Homework assistance, General knowledge, Other",4-6 hours,Strongly agree,Strongly agree,Strongly agree,"Mostly, it has helped alot of people ocer the world to solve their problems whether it is related to any field and the benefit is that it is totally computerized not human generated so their are less chances of errors. ",Agree,Agree,Agree,"Mostly, the problem faced is that we have stopped doing things by ourselves and we totally rely on gpt that's a drawback. ",Strongly agree,Strongly Agree,Agree,"It has mostly imprived the vocabulary, finding and dealing with errors, giving prompts etc",It has helped me during my degree to solve some complex programs make projects and assignments 
26/09/2024 20:05:18,20,Male,Undergraduated,Computer Science,Yes,Daily,Research,Less than 1 hour,Strongly agree,Strongly agree,Strongly agree,Yap it helps a lot to increase our knowledge and make our live easier.,Strongly,Strongly agree,Strongly agree,Yap it has some disadvantages also as many students totally relay on that and not try to learn but just copy and paste ,Agree,Strongly Agree,Neutral,,
26/09/2024 20:09:44,30,Male,Graduated,Electrical Engineering,Yes,Weekly,"Research, General knowledge, Other",1-3 hours,Agree,Neutral,Strongly agree,Good,Agree,Agree,Neutral,No idea,Neutral,Agree,Agree,Time efficiency,
26/09/2024 20:09:44,19,Male,Undergraduated,Computer Science,Yes,Monthly,"Homework assistance, General knowledge",Less than 1 hour,Strongly agree,Strongly agree,Agree,"Well, makes work easy you can learn things way quickly because it will explain it to you in easy words",Neutral,Agree,Neutral,Can't say,Neutral,Neutral,Neutral,None.,A bit
26/09/2024 20:11:54,19,Male,Undergraduated,Computer Science,Yes,Daily,Homework assistance,1-3 hours,Neutral,Agree,Strongly agree,Simplified complexity and acts as a tutor for revisions and exams ,Agree,Strongly agree,Disagree,,Disagree,Neutral,Disagree,Concepts which use to take me hours to understand now take me around 45-1 hour . More practice questions are generated by Chatgpt for practice and explanation is clear regarding any issue,Improved a little bit 
26/09/2024 20:12:53,under 15,Female,Undergraduated,Science and Technology,Yes,Rarely,Research,Less than 1 hour,Agree,Neutral,Agree,It's kind of good for knowledge purposes only nothing special tho,Neutral,Agree,Disagree,,Agree,Disagree,Disagree,Nothin,Probably yes 
26/09/2024 20:13:11,22,Male,Undergraduated,Civil Engineering,Yes,Monthly,"General knowledge, Other",Less than 1 hour,Neutral,Agree,Agree,Overall good experience,Strongly,Neutral,Neutral,No,Agree,Neutral,Agree,,
26/09/2024 20:13:12,21,Male,Undergraduated,Computer Science,Yes,Daily,"Research, Writing, Homework assistance, General knowledge, Other",7 hours or more,Strongly agree,Agree,Agree,ChatGPT has aided me into understanding complex problem statements and it has also helped in my concepts ,Agree,Strongly agree,Disagree,It is a powerful tool which has impacted the critical thinking and problem solving of an individual because ChatGPT is doing most of the work. ,Agree,Disagree,Neutral,Using it to get an understanding of different concepts.,It has helped a lot
26/09/2024 20:16:24,23,Male,Undergraduated,Business and Finance,Yes,Daily,"Research, Homework assistance, Other",1-3 hours,Agree,Strongly agree,Agree,Good for analysing a business,Strongly,Agree,Neutral,i don't know,Agree,Neutral,Agree,time effieciency,Good tool for saving time
26/09/2024 20:17:27,20,Male,Graduated,Science and Technology,No,Rarely,General knowledge,Less than 1 hour,Agree,Agree,Agree,,Neutral,Neutral,Agree,,Agree,Agree,Agree,,
26/09/2024 20:22:43,19,Male,Undergraduated,Computer Science,Yes,Weekly,"Research, Homework assistance, General knowledge",1-3 hours,Agree,Agree,Strongly agree,,Neutral,Disagree,Agree,,Agree,Agree,Disagree,,
26/09/2024 20:26:15,19,Male,High school,Other,No,Daily,"Research, Writing, Homework assistance, General knowledge, Other",1-3 hours,Strongly agree,Strongly agree,Strongly agree,Other than studies I have use chatgpt for my research on anything ,Neutral,Strongly agree,Strongly agree,,Strongly agree,Strongly Agree,Agree,,
26/09/2024 20:28:48,19,Male,Undergraduated,Computer Science,Yes,Daily,"Research, Homework assistance, General knowledge",7 hours or more,Agree,Agree,Agree,"Creative ideas, Can use native language for assistance ",Neutral,Strongly agree,Disagree,Sometimes Inaccurate results,Agree,Agree,Agree,Whatever i unable to understand i use chat gpt in native language instead of using YouTube ,It helped me alot
26/09/2024 20:29:38,20,Male,Undergraduated,Computer Science,Yes,Daily,"Research, Writing, General knowledge",Less than 1 hour,Strongly agree,Neutral,Agree,Fast and precise access to steps...such as methods of integrating different languages and tools for programming ,Disagree,Neutral,Neutral,,Disagree,Disagree,Neutral,,
26/09/2024 20:30:22,18,Male,Undergraduated,Computer Science,Yes,Weekly,"Research, Homework assistance",1-3 hours,Agree,Neutral,Agree,,Agree,Agree,Agree,,Agree,Neutral,Agree,,
26/09/2024 20:31:31,19,Male,Undergraduated,Computer Science,Yes,Daily,Other,7 hours or more,Strongly agree,Strongly agree,Strongly agree,Assignment ka chappa maro. Copy laste kr do. Mazy he mazy,Strongly,Strongly Disagree,Strongly disagree,No drawbacks,Strongly agree,Strongly Agree,Disagree,,
26/09/2024 20:31:53,20,Male,Undergraduated,Software Engineering,No,Rarely,"Homework assistance, Other",1-3 hours,Neutral,Neutral,Neutral,"Conducting market research, Produce accurate information, Gaining accurate data",Neutral,Agree,Disagree,it cannot be used as an authoritative source of information.,Neutral,Agree,Neutral,No,"Increased reliance on ChatGPT was associated with higher levels of procrastination and memory loss, and a negative impact on academic performance,"
26/09/2024 20:34:01,19,Female,Undergraduated,Computer Science,Yes,Daily,"Research, Homework assistance, General knowledge",4-6 hours,Agree,Agree,Agree,,Neutral,Strongly agree,Neutral,,Agree,Agree,Disagree,,
26/09/2024 20:34:56,18,Female,Undergraduated,Computer Science,Yes,Weekly,Homework assistance,1-3 hours,Agree,Neutral,Agree,,Neutral,Strongly agree,Neutral,,Agree,Agree,Agree,,
26/09/2024 20:37:46,40,Male,Graduated,Business and Finance,No,Never,Other,Less than 1 hour,Neutral,Neutral,Neutral,,Disagree,Neutral,Agree,,Agree,Neutral,Neutral,,
26/09/2024 20:38:22,24,Male,Undergraduated,Computer Science,Yes,Weekly,"Research, Homework assistance, General knowledge",1-3 hours,Strongly agree,Neutral,Agree,,Agree,Strongly agree,Agree,,Agree,Agree,Agree,,
26/09/2024 20:39:54,21,Male,Undergraduated,Software Engineering,Yes,Daily,"Research, Writing, Homework assistance, General knowledge",7 hours or more,Agree,Agree,Agree,,Disagree,Agree,Disagree,,Neutral,Disagree,Disagree,,
26/09/2024 20:40:54,20,Male,Undergraduated,Arts and Humanities,Yes,Daily,Research,Less than 1 hour,Strongly agree,Strongly agree,Strongly agree,No benefit ,Strongly,Strongly agree,Strongly agree,No experience ,Strongly agree,Strongly Agree,Agree,No,No
26/09/2024 20:41:10,19,Female,Undergraduated,Software Engineering,Yes,Weekly,Homework assistance,4-6 hours,Agree,Agree,Agree,,Agree,Strongly agree,Agree,It sometimes gives wrong answers ,Agree,Neutral,Agree,,
26/09/2024 20:42:30,18,Male,Undergraduated,Other,Yes,Daily,"Research, Writing, Homework assistance, General knowledge, Other",Less than 1 hour,Agree,Agree,Agree,,Neutral,Agree,Agree,,Agree,Strongly Agree,Neutral,,
26/09/2024 20:44:48,20,Female,Undergraduated,Computer Science,Yes,Daily,Homework assistance,1-3 hours,Agree,Neutral,Strongly agree,It made complex topics easy for me to understand. ,Agree,Agree,Agree,I'm quite dependent on it. ,Neutral,Neutral,Agree,,
26/09/2024 20:44:56,20,Male,Undergraduated,Computer Science,Yes,Daily,"Research, Writing, Homework assistance, General knowledge",1-3 hours,Strongly agree,Strongly agree,Strongly agree,,Agree,Agree,Agree,,Agree,Agree,Agree,A bit dependent on it,Increase professionalism
26/09/2024 20:45:03,23,Male,Undergraduated,Computer Science,Yes,Daily,Other,1-3 hours,Neutral,Neutral,Agree,Web,Disagree,Neutral,Neutral,Slow,Agree,Disagree,Neutral,None ,Improved
26/09/2024 20:46:04,20,Male,Undergraduated,Computer Science,Yes,Weekly,"Research, Homework assistance",1-3 hours,Strongly agree,Strongly agree,Agree,Chatgpt increased my efficiency like i use it for break down of complex questions where i need assistance to understand also it helped me soo much through put my degree in my coding projects,Neutral,Agree,Disagree,As such no drawbacks but this boom of ai made it difficult for students also as they get complex things as their assignments ,Strongly agree,Agree,Agree,Instead of seeing the regular lecture videos i use chatgpt as it can clear my questions on realtime,I start thinking smart instead of going for the hardwork ichatgpt is making it easy for me to do extra stuff which i dont have to care about as computer science student
